Site,Name,Sample,NewCode,Sample variability,Raw Material,State,Visibility,Accessability,Deposit,Type,Frequence,State of site,Observations,lat,long,Thin-sections
Cabo S. Vicente,CSV ,CSV_1,SP1,Homogeneous,Other,Primary,Reasonable,Difficult,Outcrop,Nodule,Ponctual,Bad,,37.02249,-8.99638,No
Cabo S. Vicente,CSV,csv_2,SP2,Homogeneous,Chert,Primary,Reasonable,Difficult,,Nodule,Rare,Medium,,37.02239,-8.9963,No
Cabo S. Vicente,CSV,csv_3,SP3,Homogeneous,Chert,Primary,Reasonable,,,Nodule,Ponctual,Good,,37.02324,-8.9954,No
Cabo S. Vicente,CSV,csv_4,SP4,,Chert,Primary,Reasonable,Moderate,Outcrop,Bedded,Abundant,Medium,,37.0229,-8.9956,No
Cabo S. Vicente,CSV,csv_5,SP5,,Chalcedony,Primary,Bad,Moderate,Outcrop,Nodule,Rare,Good,,37.02289,-8.99536,No
Cabo S. Vicente,CSV,csv_6,SP6,Variable,Chert,Primary,Good,Moderate,Outcrop,Bedded,Abundant,Good,,37.02294,-8.99541,Yes
Cabo S. Vicente,CSV,csv_7,SP7,,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02327,-8.99521,Yes
Ponta dos Altos Este,PDA,pda-e_1,SP8,Variable,Chert,Primary,Bad,Moderate,Outcrop,Nodule,Ponctual,Good,,37.02737,-8.98043,No
Ponta dos Altos Este,PDA,pda-e_2,SP9,Variable,Chert,Primary,Good,Moderate,Outcrop,Nodule,Abundant,Good,,37.02731,-8.98031,Yes
Ponta dos Altos Este,PDA,pda-e_3,SP10,Homogeneous,Chert,Primary,Good,,Outcrop,Nodule,Abundant,Good,,37.02727,-8.98022,Yes
Pousada do Infante,PTA,nyx_1,SP11,,Other,Isolated find,Good,Easy,,Rounded pebble,Rare,,,37.00468,-8.93353,No
Praia do Belixe,BLX,blx_1,SP12,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Ponctual,Medium,,37.02599,-8.9632,No
Praia do Belixe,BLX,blx_2,SP13,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02626,-8.96377,No
Praia do Belixe,BLX,blx_3,SP14,Variable,Chert,Primary,Good,Easy,Outcrop,,Abundant,Good,,37.02609,-8.96346,Yes
Praia do Belixe,BLX,blx_4,SP15,,Chert,Primary,Good,Easy,Outcrop,Bedded,Abundant,Good,,37.02623,-8.96391,No
Praia do Belixe,BLX,blx_5,SP16,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02606,-8.96411,No
Praia do Belixe,BLX,blx_6,SP17,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02637,-8.96526,No
Praia do Belixe,BLX,blx_7,SP18,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02663,-8.96717,Yes
Praia do Belixe,BLX,blx_topo_1,SP19,Variable,Chert,Primary,Reasonable,Moderate,Outcrop,Nodule,Rare,Medium,,37.02625,-8.96421,No
